Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Logan Gillaspie,1997,3,2022,2024,-0.2,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,5.02,82.0,1.513,37,0,0,37.666666666666664,25,"BAL,SDP"
Mauricio Llovera,1996,4,2020,2023,-0.3,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,3,5.8,76.0,1.576,54,1,0,59.0,57,"BOS,PHI,SFG"
Kean Wong,1995,2,2019,2021,-0.7,0,39,78,5,13,0,6,0,2,0.167,0.188,0.218,0.405,10,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,TBD"
Greg Mahle,1993,1,2016,2016,-0.3,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,5.4,76.0,1.8,24,0,0,18.333333333333332,14,ANA
Ronny Rodríguez,1992,2,2018,2019,-2.0,0,146,467,46,103,19,63,5,23,0.221,0.254,0.396,0.65,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Chris O'Grady,1990,2,2017,2018,0.0,0,20,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,2,4.73,85.0,1.55,21,6,0,40.0,38,FLA
Deolis Guerra,1989,6,2015,2021,-0.3,0,19,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,12,6,4.54,91.0,1.239,136,0,0,168.66666666666666,145,"ANA,MIL,OAK,PHI,PIT"
Dan Jennings,1987,8,2012,2019,4.6,0,192,4,1,2,0,0,0,0,0.5,0.5,0.75,1.25,231,17,20,3.1,131.0,1.428,390,1,2,348.6666666666667,281,"CHW,FLA,MIL,TBD,WSN"
Jed Lowrie,1984,14,2008,2022,15.6,1,1307,4615,590,1185,121,594,8,503,0.257,0.33,0.406,0.736,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,HOU,NYM,OAK"
Ryan Raburn,1981,12,2004,2017,3.4,0,946,2472,340,626,93,358,16,210,0.253,0.316,0.436,0.752,100,0,0,0.0,0.0,1.2,2,0,0,1.6666666666666665,1,"CLE,COL,DET,WSN"
Max St. Pierre,1980,1,2010,2010,-0.1,0,6,9,1,2,0,0,0,0,0.222,0.222,0.333,0.556,48,0,0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Jorge Piedra,1979,3,2004,2006,-0.7,0,142,262,38,72,12,36,3,18,0.275,0.328,0.489,0.816,99,0,0,0.0,0.0,0.0,0,0,0,0.0,0,COL
Andy Barkett,1973,1,2001,2001,0.2,0,17,46,5,14,1,3,1,4,0.304,0.373,0.413,0.786,101,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Gary Bennett,1972,13,1995,2008,-3.1,0,587,1690,141,408,22,192,6,139,0.241,0.302,0.328,0.63,64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"COL,LAD,MIL,NYM,PHI,SDP,STL,WSN"
Keith Johnson,1971,1,2000,2000,0.3,0,6,4,2,2,0,0,0,2,0.5,0.667,0.5,1.167,201,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ANA
Jeff Ball,1969,1,1998,1998,-0.1,0,2,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,35,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Marquis Grissom,1967,17,1989,2005,29.6,2,2165,8275,1187,2251,227,967,429,553,0.272,0.318,0.415,0.732,92,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CLE,LAD,MIL,SFG,WSN"
Craig Worthington,1965,7,1988,1996,2.8,0,393,1234,126,284,33,144,3,162,0.23,0.322,0.351,0.673,90,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CIN,CLE,TEX"
Dave Huppert,1957,2,1983,1985,-0.6,0,17,21,1,1,0,0,0,2,0.048,0.13,0.048,0.178,-48,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,MIL"
Tom Runnells,1955,2,1985,1986,-0.4,0,40,46,4,8,0,0,0,3,0.174,0.225,0.217,0.442,22,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Denny Walling,1954,18,1975,1992,12.0,0,1271,2945,372,799,49,380,44,308,0.271,0.339,0.39,0.728,107,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,OAK,STL,TEX"
Pedro García,1950,5,1973,1977,-1.0,0,558,1797,196,395,37,184,35,102,0.22,0.267,0.348,0.615,75,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,MIL,TOR"
Dennis Paepke,1945,4,1969,1974,-2.1,0,80,197,13,36,2,14,0,12,0.183,0.229,0.249,0.477,36,0,0,0.0,0.0,0.0,0,0,0,0.0,0,KCR
Roberto Peña,1937,6,1965,1971,-1.3,0,587,1907,174,467,13,154,10,114,0.245,0.29,0.31,0.6,72,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,MIL,OAK,PHI,SDP"
Solly Hemus,1923,11,1949,1959,25.9,0,961,2694,459,736,51,263,21,456,0.273,0.39,0.411,0.801,115,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHI,STL"
Stan Andrews,1917,4,1939,1945,-1.1,0,70,149,11,32,1,12,2,8,0.215,0.26,0.262,0.521,47,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,LAD,PHI"
Harry Cozart,1917,2,1939,1944,-0.5,0,11,12,0,3,0,2,1,0,0.25,0.25,0.25,0.5,35,0,4,7.33,64.0,1.629,8,3,1,23.333333333333332,12,NE
Clyde Smoll,1914,1,1940,1940,-1.1,0,33,31,2,5,0,0,0,0,0.161,0.161,0.161,0.323,-9,2,8,5.37,73.0,1.661,33,9,0,109.0,31,PHI
