Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Trey Sweeney,2000,1,0.7,0,36,110,11,24,4,17,2,7,0.218,0.269,0.373,0.642,81,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Bailey Falter,1997,4,2.4,0,21,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,18,23.0,4.62,91.0,1.289,88,59,0,340.6666666666667,265,"PHI,PIT"
Willi Castro,1997,6,4.5,1,585,1923,283,477,45,195,65,136,0.248,0.313,0.388,0.701,95,0,0.0,7.36,70.0,1.364,5,0,0,3.6666666666666665,0,"DET,MIN"
Jovani Morán,1997,3,0.3,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3.0,4.15,101.0,1.33,79,0,1,91.0,112,MIN
John Means,1993,7,10.5,1,4,6,0,2,0,0,0,1,0.333,0.429,0.5,0.929,153,23,26.0,3.68,123.0,1.05,78,73,0,401.0,334,BAL
Rangel Ravelo,1992,2,-0.4,0,42,74,9,14,3,13,0,7,0.189,0.25,0.351,0.601,61,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Carlos Ramírez,1991,2,0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,2.88,158.0,0.84,17,0,0,25.0,19,"OAK,TOR"
Tyler Naquin,1991,8,3.1,0,562,1668,226,439,61,237,20,117,0.263,0.316,0.445,0.762,100,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CIN,CLE,NYM"
Steven Souza Jr.,1989,8,5.1,0,505,1669,223,383,72,207,42,198,0.23,0.318,0.411,0.729,98,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,CHC,LAD,SEA,TBD,WSN"
Welington Castillo,1987,10,12.3,0,726,2462,251,626,98,339,5,183,0.254,0.313,0.426,0.739,98,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,BAL,CHC,CHW,SEA"
Aaron Cunningham,1986,5,-0.4,0,222,452,47,99,7,51,4,34,0.219,0.28,0.347,0.628,74,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,OAK,SDP"
Ryan Reid,1985,1,0.2,0,6,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,1.64,226.0,1.091,7,0,1,11.0,7,PIT
Daniel Barone,1983,1,-0.3,0,16,9,1,1,0,0,0,0,0.111,0.111,0.111,0.222,-41,1,3.0,5.71,77.0,1.683,16,6,0,41.0,18,FLA
Carlos Beltrán,1977,20,70.1,9,2586,9768,1582,2725,435,1587,312,1084,0.279,0.351,0.486,0.837,119,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,KCR,NYM,NYY,SFG,STL,TEX"
John Barnes,1976,2,-0.1,0,20,58,6,14,0,2,0,3,0.241,0.313,0.31,0.623,60,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Will Cunnane,1974,8,-0.8,0,178,35,6,7,0,4,0,3,0.2,0.263,0.286,0.549,46,13,12.0,5.26,79.0,1.606,184,12,3,274.0,234,"ATL,CHC,MIL,SDP"
Chipper Jones HOF,1972,19,85.3,8,2499,8984,1619,2726,468,1623,150,1512,0.303,0.401,0.529,0.93,141,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Todd Jones,1968,16,10.3,1,471,19,1,4,0,0,0,1,0.211,0.25,0.263,0.513,36,58,63.0,3.97,111.0,1.413,982,1,319,1072.0,868,"BOS,CIN,COL,DET,FLA,HOU,MIN,PHI"
Omar Vizquel,1967,24,45.6,3,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CLE,SEA,SFG,TEX,TOR"
Mike Blowers,1965,11,4.3,0,761,2300,290,591,78,365,7,248,0.257,0.329,0.416,0.745,97,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,NYY,OAK,SEA"
Bill Krueger,1958,13,3.0,0,27,15,1,6,0,0,0,0,0.4,0.4,0.467,0.867,132,68,66.0,4.35,92.0,1.505,301,164,4,1194.3333333333333,639,"DET,LAD,MIL,MIN,OAK,SDP,SEA,WSN"
Herman Segelke,1958,1,-0.1,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,8.31,49.0,2.769,3,0,0,4.333333333333333,4,CHC
Pat Zachry,1952,10,10.7,1,293,318,9,36,0,6,0,14,0.113,0.15,0.113,0.263,-25,69,67.0,3.52,102.0,1.395,293,154,3,1177.3333333333333,669,"CIN,LAD,NYM,PHI"
Bob Beall,1948,4,-0.4,0,148,234,32,54,1,18,4,45,0.231,0.355,0.295,0.65,76,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,PIT"
Bill Singer,1944,14,18.7,2,193,413,20,45,0,13,0,14,0.109,0.148,0.136,0.284,-16,118,127.0,3.39,99.0,1.257,322,308,2,2174.0,1515,"ANA,LAD,MIN,TEX,TOR"
Joe Verbanic,1943,4,2.1,0,92,46,2,5,0,2,0,1,0.109,0.128,0.13,0.258,-21,12,11.0,3.26,95.0,1.42,92,17,6,207.0,94,"NYY,PHI"
Ivan Murrell,1943,10,0.7,0,564,1306,126,308,33,123,20,44,0.236,0.265,0.366,0.631,78,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,HOU,SDP"
Glen Hobbie,1936,8,5.9,0,284,398,25,52,4,16,0,21,0.131,0.176,0.176,0.352,-4,62,81.0,4.2,93.0,1.408,284,170,6,1263.0,682,"CHC,STL"
Dixie Howell,1920,8,-1.3,0,340,910,98,224,12,93,1,87,0.246,0.314,0.337,0.652,73,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,LAD,PIT"
Herb Harris,1913,1,-0.1,0,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,10.29,46.0,2.714,4,0,0,7.0,0,PHI
Sam Harshaney,1910,4,-0.6,0,61,181,17,43,0,15,0,16,0.238,0.303,0.254,0.557,43,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Felton Wilson,1908,3,0.2,0,25,76,10,19,1,6,2,6,0.25,0.305,0.316,0.621,71,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"AG,CL2,DTS"
Red Worthington,1906,4,2.4,0,292,1037,118,298,12,111,2,48,0.287,0.321,0.423,0.745,102,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,STL"
Jimmy Moore,1903,2,-0.3,0,80,232,32,59,4,35,1,19,0.254,0.316,0.358,0.674,72,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,OAK"
Andy Cooper HOF,1897,14,25.9,2,298,580,46,105,3,35,0,26,0.181,0.218,0.241,0.459,24,118,64.0,3.58,122.0,1.211,288,183,24,1603.3333333333333,719,"CAG,DS,KCM"
Ken Penner,1896,2,-0.3,0,9,6,0,1,0,1,0,0,0.167,0.167,0.167,0.333,-13,1,2.0,3.55,109.0,1.5,9,2,0,25.333333333333332,8,"CHC,CLE"
Pug Griffin,1896,2,0.0,0,23,29,4,6,1,3,1,2,0.207,0.258,0.345,0.603,84,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"OAK,SFG"
Dixie Parker,1895,1,-0.2,0,4,5,0,1,0,1,0,0,0.2,0.2,0.2,0.4,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Harry Harper,1895,10,11.9,0,220,402,19,59,0,19,3,15,0.147,0.183,0.167,0.35,2,57,76.0,2.87,105.0,1.339,219,171,5,1256.0,623,"BOS,LAD,MIN,NYY"
Howard Ehmke,1894,15,39.1,0,429,1009,71,210,0,73,5,26,0.208,0.228,0.258,0.486,29,166,166.0,3.75,104.0,1.388,427,338,15,2820.6666666666665,1030,"BFL,BOS,DET,OAK"
Walt Smallwood,1893,2,-0.1,0,8,5,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,4.56,71.0,1.31,8,0,0,23.666666666666668,7,NYY
Pete Falsey,1891,1,0.0,0,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Joe Wagner,1889,1,-0.8,0,75,197,17,35,0,13,4,8,0.178,0.21,0.223,0.433,29,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Charlie Graham,1878,1,1.0,0,30,90,10,21,1,12,1,10,0.233,0.33,0.278,0.608,91,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
Bob Ewing,1873,11,29.9,0,311,872,77,170,3,58,5,33,0.195,0.233,0.252,0.485,44,124,118.0,2.49,116.0,1.178,291,264,4,2301.0,998,"CIN,PHI,STL"
Jim Field,1863,5,2.5,0,331,1270,180,292,10,50,9,77,0.23,0.289,0.317,0.605,95,1,0.0,2.79,134.0,1.138,2,1,1,9.666666666666666,2,"BLO,CBK,PIT,ROC,WAS"
