Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Luis Guerrero,2000,1,0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.8,9,0,0,10.0,9,BOS
Tobias Myers,1998,1,2.7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,6,3.0,140.0,1.174,27,25,0,138.0,127,MIL
Braxton Garrett,1997,5,5.4,0,8,11,1,2,0,0,0,0,0.182,0.182,0.182,0.364,-1,16,19,4.03,111.0,1.263,65,63,0,326.3333333333333,320,FLA
Domingo Santana,1992,7,3.5,0,516,1680,233,428,77,244,30,209,0.255,0.341,0.446,0.788,109,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,HOU,MIL,SEA"
Andrew Bellatti,1991,4,1.1,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,5,3.83,107.0,1.353,106,1,2,105.66666666666667,125,"FLA,PHI,TBD"
Ben Heller,1991,6,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,4.65,97.0,1.516,58,0,0,62.0,61,"ATL,NYY,PIT"
Nick Martinez,1990,7,8.7,0,9,10,3,0,0,0,0,1,0.0,0.091,0.0,0.091,-72,37,45,4.09,104.0,1.322,240,103,9,774.3333333333334,554,"CIN,SDP,TEX"
Chasen Bradford,1989,3,0.9,0,26,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,7,0,3.89,107.0,1.279,86,0,1,104.0,76,"NYM,SEA"
Guido Knudson,1989,1,-0.3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,18.0,24.0,3.2,4,0,0,5.0,6,DET
Tim Federowicz,1987,8,-1.1,0,163,406,31,78,12,39,1,25,0.192,0.241,0.328,0.568,54,0,0,9.0,75.0,3.0,1,0,0,1.0,0,"CHC,CIN,HOU,LAD,SFG,TEX"
Travis Denker,1985,1,0.1,0,24,37,6,9,1,3,0,5,0.243,0.333,0.487,0.82,111,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Sean Kazmar Jr.,1984,2,-0.1,0,22,41,2,8,0,2,0,5,0.195,0.277,0.22,0.496,41,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,SDP"
Carl Crawford,1981,15,39.1,4,1716,6655,998,1931,136,766,480,377,0.29,0.33,0.435,0.765,105,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,LAD,TBD"
Jamal Strong,1978,2,0.0,0,28,22,8,5,0,2,0,2,0.227,0.308,0.318,0.626,71,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Eric Hinske,1977,12,7.8,0,1387,3797,549,947,137,522,61,452,0.249,0.332,0.43,0.762,99,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,ATL,BOS,NYY,PIT,TBD,TOR"
Mark Mulder,1977,9,20.0,2,63,111,10,18,1,9,0,9,0.162,0.228,0.207,0.435,15,103,60,4.18,106.0,1.342,205,203,0,1314.0,834,"OAK,STL"
Bobby Kielty,1976,7,6.4,0,599,1792,257,456,53,253,21,246,0.255,0.348,0.409,0.757,99,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,MIN,OAK,TOR"
John Wasdin,1972,12,3.4,0,62,19,2,3,0,1,0,1,0.158,0.2,0.211,0.411,0,39,39,5.28,92.0,1.419,328,65,7,793.3333333333334,527,"BAL,BOS,COL,OAK,PIT,TEX,TOR"
Carlos Pulido,1971,3,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,8,5.98,81.0,1.482,32,15,0,111.33333333333333,47,MIN
Marcos Armas,1969,1,0.1,0,15,31,7,6,1,1,1,1,0.194,0.242,0.355,0.597,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
John Olerud,1968,17,58.2,2,2234,7592,1139,2239,255,1230,11,1275,0.295,0.398,0.465,0.863,129,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,NYM,NYY,SEA,TOR"
Jerry Nielsen,1966,2,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,5.91,71.0,1.781,30,0,0,32.0,20,"ANA,NYY"
Reid Nichols,1958,8,1.6,0,540,1160,156,308,22,131,27,99,0.266,0.326,0.391,0.716,92,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,CHW,WSN"
Dave Edler,1956,4,-2.0,0,126,334,34,72,6,36,12,35,0.216,0.291,0.308,0.599,65,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Dave Rozema,1956,10,15.7,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,60,53,3.47,118.0,1.25,248,132,17,1106.0,448,"DET,TEX"
Rick Mahler,1953,13,20.2,0,394,581,40,104,1,37,0,20,0.179,0.208,0.213,0.422,16,96,111,3.99,96.0,1.371,392,271,6,1951.3333333333333,952,"ATL,CIN,WSN"
John Hale,1953,6,-0.4,0,359,681,66,137,14,72,10,103,0.201,0.307,0.305,0.612,72,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,SEA"
