Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Dylan Beavers,2001,1,2025,2025,0.7,0,8,27,7,8,1,3,1,7,0.296,0.441,0.481,0.923,160,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Doug Nikhazy,1999,1,2025,2025,-0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,13.5,34.0,2.75,2,1,0,4.0,5,CLE
Brendon Little,1996,3,2022,2025,0.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,4,3.51,120.0,1.344,112,0,2,102.66666666666667,115,"CHC,TOR"
Michael Chavis,1995,5,2019,2023,0.1,0,357,1106,133,263,42,142,8,64,0.238,0.283,0.401,0.685,83,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,PIT,WSN"
Kohei Arihara,1992,2,2021,2022,-1.5,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,3,7,7.57,57.0,1.731,15,14,0,60.666666666666664,38,TEX
Wilfredo Tovar,1991,4,2013,2021,-0.3,0,46,112,6,21,0,8,1,7,0.188,0.242,0.232,0.474,29,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,NYM"
Mayckol Guaipe,1990,2,2015,2016,-0.6,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,5.29,75.0,1.735,26,0,0,34.0,27,SEA
Andrew Lambo,1988,4,2013,2016,-0.8,0,60,95,8,18,1,3,0,5,0.189,0.23,0.295,0.525,46,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"OAK,PIT"
Drew Storen,1987,8,2010,2017,4.8,0,399,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667,80,29,18,3.45,116.0,1.195,470,0,99,440.3333333333333,417,"CIN,SEA,TOR,WSN"
Colby Rasmus,1986,10,2009,2018,20.4,0,1092,3704,536,891,166,491,35,362,0.241,0.31,0.436,0.745,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,HOU,STL,TBD,TOR"
Pablo Sandoval,1986,14,2008,2021,19.1,2,1380,4609,548,1279,153,639,12,357,0.278,0.33,0.443,0.773,111,0,0,0.0,0.0,0.0,2,0,0,2.0,0,"ATL,BOS,SFG"
Melky Cabrera,1984,15,2005,2019,21.1,1,1887,6878,895,1962,144,854,101,510,0.285,0.334,0.417,0.751,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHW,CLE,KCR,NYY,PIT,SFG,TOR"
Kurt Birkins,1980,3,2006,2008,-0.4,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,4,5.85,79.0,1.553,60,2,0,75.33333333333333,64,"BAL,TBD"
Jorge Padilla,1979,1,2009,2009,-0.6,0,29,25,3,3,0,0,0,1,0.12,0.154,0.12,0.274,-26,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WSN
