Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Jackson Holliday,2003,2,2024,2025,1.1,0,208,772,98,177,22,78,21,71,0.229,0.3,0.36,0.66,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Levi Stoudt,1997,1,2023,2023,-0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,9.58,50.0,2.323,4,2,0,10.333333333333334,9,CIN
Daniel Duarte,1996,3,2022,2024,0.6,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,3.99,118.0,1.383,36,0,1,38.333333333333336,28,"CIN,MIN"
Ford Proctor,1996,1,2022,2022,-0.2,0,7,18,3,2,1,6,0,2,0.111,0.182,0.278,0.46,29,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Jake Bird,1995,4,2022,2025,1.4,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,11,11,4.76,102.0,1.472,191,3,1,232.33333333333334,216,"COL,NYY"
Paul Blackburn,1993,9,2017,2025,2.5,1,2,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,22,31,4.97,81.0,1.414,101,86,1,467.3333333333333,363,"NYM,NYY,OAK"
Raúl Alcántara,1992,2,2016,2017,-0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,5,7.19,58.0,1.489,13,9,0,46.333333333333336,26,OAK
Jake Cave,1992,7,2018,2024,1.2,0,523,1429,190,337,45,176,13,98,0.236,0.292,0.4,0.692,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"COL,MIN,PHI"
Scott Heineman,1992,3,2019,2021,-0.4,0,68,157,19,27,5,17,4,14,0.172,0.249,0.325,0.573,49,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,TEX"
Joe Musgrove,1992,9,2016,2024,14.9,1,104,138,12,20,0,4,0,3,0.145,0.162,0.196,0.358,-3,66,62,3.73,108.0,1.167,206,180,2,1056.0,1050,"HOU,PIT,SDP"
Blake Snell,1992,10,2016,2025,25.1,1,31,42,1,4,0,0,0,3,0.095,0.174,0.095,0.269,-22,81,62,3.15,130.0,1.219,222,222,0,1158.0,1440,"LAD,SDP,SFG,TBD"
Ángel Nesbitt,1990,1,2015,2015,-0.4,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,5.4,75.0,1.385,24,0,0,21.666666666666668,14,DET
Andrew Brackman,1985,1,2011,2011,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.714,3,0,0,2.3333333333333335,0,NYY
Carlos Gómez,1985,13,2007,2019,24.3,2,1461,4724,675,1189,145,546,268,319,0.252,0.313,0.411,0.724,94,0,0,81.0,11.0,12.0,1,0,0,0.3333333333333333,0,"HOU,MIL,MIN,NYM,TBD,TEX"
