Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Bryan De La Cruz,1996,4,-0.3,0,475,1691,176,427,58,208,14,106,0.253,0.297,0.408,0.704,90,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,PIT"
Óscar Mercado,1994,5,2.6,0,298,890,123,211,26,100,29,60,0.237,0.289,0.388,0.677,81,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,PHI,STL"
Ryan Hendrix,1994,2,-0.3,0,34,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,5,1.0,5.85,80.0,1.6,45,0,0,40.0,44,CIN
Pete Fairbanks,1993,6,3.6,0,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,19.0,3.29,126.0,1.21,214,2,63,205.0,273,"TBD,TEX"
Jack López,1992,2,0.1,0,34,80,6,19,1,6,0,3,0.238,0.274,0.338,0.611,71,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,BOS"
Tyler Chatwood,1989,10,10.4,0,184,205,17,42,0,17,0,8,0.205,0.235,0.239,0.474,22,52,60.0,4.45,101.0,1.513,229,143,5,878.6666666666666,660,"ANA,CHC,COL,SFG,TOR"
Mickey Jannis,1987,1,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,18.9,26.0,3.6,1,0,0,3.3333333333333335,1,BAL
Héctor Santiago,1987,10,8.7,1,28,20,0,3,0,0,0,0,0.15,0.15,0.15,0.3,-15,48,51.0,4.12,98.0,1.391,270,140,6,947.0,856,"ANA,CHW,MIN,NYM,SEA"
Bryan Anderson,1986,5,-0.5,0,40,68,4,15,0,7,1,4,0.221,0.276,0.279,0.556,53,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,OAK,STL"
Ryan Lollis,1986,1,-0.1,0,5,12,0,2,0,0,1,1,0.167,0.231,0.167,0.398,12,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Alcides Escobar,1986,13,10.0,1,1552,5750,670,1486,45,478,178,253,0.258,0.295,0.345,0.64,74,0,0.0,10.8,45.0,2.4,2,0,0,1.6666666666666665,0,"KCR,MIL,WSN"
Tom Wilhelmsen,1983,7,4.8,0,48,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,14,15.0,3.53,110.0,1.268,344,2,68,385.0,339,"ARI,SEA,TEX"
Chris Britton,1982,3,1.3,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3.0,3.83,119.0,1.287,78,0,1,89.33333333333333,58,"BAL,NYY"
Iván Ochoa,1982,1,-1.0,0,47,120,7,24,0,3,0,4,0.2,0.244,0.267,0.511,33,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Josh Hall,1980,1,-0.6,0,6,6,2,1,0,0,0,0,0.167,0.167,0.167,0.333,-10,0,2.0,6.57,64.0,1.946,6,5,0,24.666666666666668,18,CIN
Matt Kinney,1976,5,0.3,0,69,69,3,5,0,1,0,2,0.073,0.099,0.087,0.186,-51,19,27.0,5.29,84.0,1.581,103,58,0,389.6666666666667,297,"KCR,MIL,MIN,SFG"
Charles Gipson,1972,8,0.8,0,373,321,78,76,0,30,16,30,0.237,0.311,0.327,0.638,69,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,NYY,SEA,TBD"
Jeff Granger,1971,4,-0.9,0,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,9.09,56.0,2.305,27,2,0,31.666666666666668,19,"KCR,PIT"
Jason Wood,1969,5,0.0,0,153,200,25,49,5,36,1,15,0.245,0.296,0.375,0.671,74,0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,"DET,FLA,OAK"
Chris Jones,1965,9,0.4,0,548,1021,155,257,30,131,26,74,0.252,0.303,0.404,0.707,86,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,CIN,COL,HOU,MIL,NYM,SDP,SFG"
Randy Hennis,1965,1,0.6,0,3,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,0.0,0.0,0.414,3,1,0,9.666666666666666,4,HOU
Billy Ripken,1964,12,5.9,0,912,2729,287,674,20,229,25,174,0.247,0.294,0.318,0.612,69,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CLE,DET,TEX"
Chris Jelic,1963,1,0.0,0,4,11,2,1,1,1,0,0,0.091,0.091,0.364,0.455,19,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,NYM
Paul Noce,1959,2,-0.2,0,71,181,17,42,3,14,5,6,0.232,0.265,0.354,0.618,61,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CIN"
Ted Wilborn,1958,2,-0.8,0,30,20,5,2,0,1,0,1,0.1,0.143,0.1,0.243,-32,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,TOR"
Rondin Johnson,1958,1,0.1,0,11,31,1,8,0,2,0,0,0.258,0.258,0.323,0.581,57,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,KCR
Tom Gorman,1957,7,0.0,0,126,14,0,1,0,0,0,0,0.071,0.071,0.071,0.143,-60,12,10.0,4.34,84.0,1.301,126,7,0,213.66666666666666,144,"NYM,PHI,SDP,WSN"
Rick Sofield,1956,3,-0.7,0,207,612,69,149,9,66,9,44,0.244,0.293,0.342,0.634,70,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Tommy Bianco,1952,1,-0.3,0,18,34,6,6,0,0,0,3,0.177,0.263,0.206,0.469,35,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
