Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Nick Allgeyer,1996,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1,0,0,1.0,0,TOR
Anthony Bender,1995,3,2.5,0,56,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,9,7.0,3.37,129.0,1.182,141,1,10,133.66666666666666,147,FLA
Andrew Knizner,1995,6,0.7,0,290,804,89,169,18,85,4,63,0.21,0.279,0.317,0.596,66,0,0.0,0.0,0.0,1.091,3,0,0,3.6666666666666665,0,"STL,TEX"
Brooks Kriske,1994,3,-1.3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1.0,11.22,41.0,1.846,20,0,0,21.666666666666668,25,"BAL,KCR,NYY"
Rougned Odor,1994,10,6.3,0,1154,4044,541,930,178,568,70,269,0.23,0.288,0.422,0.71,87,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,NYY,SDP,TEX"
Kyle Dowdy,1993,2,-0.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1.0,5.65,90.0,1.814,15,1,0,28.666666666666668,20,"CIN,TEX"
Austin Davis,1993,6,-1.1,0,56,3,0,0,0,0,0,1,0.0,0.25,0.0,0.25,-24,4,5.0,5.77,76.0,1.54,143,3,0,151.33333333333334,165,"BOS,MIN,PHI,PIT,SDP"
Orlando Calixte,1992,2,-0.7,0,31,52,6,7,0,6,1,3,0.135,0.175,0.154,0.329,-11,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"KCR,SFG"
Lucas Duda,1986,10,7.5,0,958,3098,387,741,156,470,6,394,0.239,0.334,0.448,0.782,115,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,KCR,NYM,TBD"
Skip Schumaker,1980,11,1.5,0,1149,3252,416,905,28,284,26,280,0.278,0.337,0.364,0.701,91,0,0.0,4.5,106.0,2.25,4,0,0,4.0,3,"CIN,LAD,STL"
Bart Miadich,1976,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,6.75,70.0,1.667,12,0,0,12.0,14,ANA
