Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Dylan Crews,2002,1,2024,2024,0.6,0,31,119,12,26,3,8,12,11,0.219,0.288,0.353,0.641,82,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WSN
Trevor McDonald,2001,1,2024,2024,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.333,1,0,0,3.0,1,SFG
Trevor Larnach,1997,4,2021,2024,3.1,0,300,958,136,226,35,138,6,116,0.236,0.323,0.403,0.726,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Luis Rengifo,1997,6,2019,2024,6.3,0,526,1787,219,452,53,187,42,137,0.253,0.312,0.395,0.707,94,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ANA
Peyton Burdick,1997,2,2022,2023,-0.4,0,46,125,12,25,5,13,2,11,0.2,0.281,0.368,0.649,79,0,0,0.0,0.0,0.0,0,0,0,0.0,0,FLA
Richard Ureña,1996,3,2017,2019,0.0,0,91,241,20,61,2,14,3,15,0.253,0.3,0.336,0.636,73,0,0,36.0,17.0,5.0,1,0,0,1.0,0,TOR
Michael Papierski,1996,1,2022,2022,-0.6,0,39,91,7,13,1,4,0,10,0.143,0.228,0.187,0.415,17,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,SFG"
Kevin Plawecki,1991,8,2015,2022,2.3,0,447,1268,119,298,22,137,2,119,0.235,0.313,0.342,0.654,79,0,0,4.7,120.0,0.913,7,0,0,7.666666666666667,0,"BOS,CLE,NYM,TEX"
Dustin Ackley,1988,6,2011,2016,7.7,0,635,2125,261,512,46,216,31,194,0.241,0.304,0.367,0.672,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,SEA"
Héctor Rondón,1988,8,2013,2020,4.9,0,298,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667,75,24,20,3.49,119.0,1.202,444,1,92,436.0,441,"ARI,CHC,HOU"
