Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Oscar González,1998,2,0.7,0,145,535,54,144,13,55,1,20,0.269,0.299,0.413,0.712,101,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Nick Sandlin,1997,4,1.7,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,19,8.0,3.27,126.0,1.147,209,1,1,195.33333333333334,223,CLE
José Castillo,1996,4,0.5,0,35,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100,3,3.0,4.24,94.0,1.041,40,0,0,40.333333333333336,55,SDP
Rico Garcia,1994,4,-0.5,0,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,2.0,7.32,62.0,1.879,30,1,0,35.666666666666664,21,"BAL,COL,OAK,SFG,WSN"
Ryon Healy,1992,5,2.5,0,405,1514,177,395,69,214,0,75,0.261,0.298,0.451,0.748,103,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"MIL,OAK,SEA"
Drew Steckenrider,1991,5,2.9,0,119,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,11.0,3.27,123.0,1.221,201,0,22,195.66666666666666,210,"FLA,SEA"
Aríel Miranda,1989,3,1.5,0,4,6,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,13,9.0,4.72,88.0,1.247,44,40,0,223.0,186,"BAL,SEA"
Jason Gurka,1988,3,-0.4,0,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,9.0,55.0,2.167,18,0,0,18.0,14,"ANA,COL"
Rafael Dolis,1988,5,0.0,0,43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,9.0,4.57,95.0,1.545,103,0,12,100.33333333333333,95,"CHC,TOR"
Ryan Dennick,1987,1,-0.4,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,11.57,34.0,2.357,8,0,0,4.666666666666667,3,CIN
Alberto Rosario,1987,2,-0.3,0,23,41,3,7,0,2,0,2,0.171,0.209,0.22,0.429,16,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Paolo Espino,1987,6,1.0,0,38,34,2,6,0,0,0,0,0.177,0.177,0.177,0.353,-2,5,15.0,5.12,80.0,1.381,97,42,1,265.6666666666667,217,"MIL,TEX,TOR,WSN"
Sammy Gervacio,1985,2,0.4,0,35,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2.0,3.65,115.0,1.338,35,0,0,24.666666666666668,28,HOU
Hunter Jones,1984,2,-0.3,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,8.16,59.0,1.674,14,0,0,14.333333333333334,12,"BOS,FLA"
Matt Roney,1980,2,-0.1,0,4,2,0,1,0,0,0,0,0.5,0.5,0.5,1.0,175,1,10.0,5.42,80.0,1.49,48,11,0,104.66666666666667,47,"DET,OAK"
Rick Bauer,1977,7,1.5,0,14,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,11,14.0,4.51,99.0,1.397,187,10,3,317.0,185,"BAL,CLE,TEX"
Jason Jiménez,1976,1,-0.1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,7.36,65.0,1.909,6,0,0,7.333333333333333,5,"DET,TBD"
Adam Kennedy,1976,14,20.9,0,1691,5473,682,1488,80,571,179,401,0.272,0.327,0.384,0.711,88,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,LAD,OAK,SEA,STL,WSN"
Gary Rath,1973,2,-0.3,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,11.25,45.0,2.0,8,1,0,8.0,5,"LAD,MIN"
Takahito Nomura,1969,1,-0.6,0,21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,8.56,49.0,2.122,21,0,0,13.666666666666666,9,MIL
Kevin Baez,1967,3,-0.8,0,63,151,10,27,0,7,0,13,0.179,0.244,0.245,0.489,34,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,NYM
Mario Díaz,1962,9,-0.4,0,374,773,84,198,5,84,1,41,0.256,0.292,0.326,0.618,69,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,NYM,SEA,TEX"
Jim Lindeman,1962,9,-0.2,0,351,676,82,165,21,89,4,42,0.244,0.289,0.391,0.68,83,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,HOU,NYM,PHI,STL"
