Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Ali Sánchez,1997,4,2020,2025,-0.9,0,43,108,5,19,0,4,2,5,0.176,0.217,0.222,0.44,22,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,NYM,STL,TOR"
Ricardo Pinto,1994,3,2017,2024,-1.6,0,25,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,2,9.07,48.0,2.016,33,0,1,42.666666666666664,33,"PHI,TBD"
Travis Taijeron,1989,1,2017,2017,-0.6,0,26,52,3,9,1,3,0,5,0.173,0.271,0.269,0.54,47,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYM
Luis Exposito,1987,1,2012,2012,-0.2,0,9,18,2,1,0,0,0,3,0.056,0.19,0.056,0.246,-28,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
David Lough,1986,5,2012,2016,3.6,0,342,749,95,190,13,67,17,43,0.254,0.3,0.371,0.671,83,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,KCR,PHI"
Luis Pérez,1985,3,2011,2013,0.5,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,6,4.5,95.0,1.438,78,4,0,112.0,99,TOR
Fabio Castro,1985,2,2006,2007,0.8,0,25,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,3.3,144.0,1.214,30,1,1,43.666666666666664,32,"PHI,TEX"
Matt Albers,1983,14,2006,2019,2.4,0,238,35,1,3,0,0,0,0,0.086,0.086,0.114,0.2,-49,47,48,4.35,98.0,1.403,616,24,7,759.0,571,"ARI,BAL,BOS,CHW,CLE,HOU,MIL,WSN"
Geovany Soto,1983,13,2005,2017,12.0,1,797,2522,308,619,108,361,3,311,0.245,0.33,0.435,0.765,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CHC,CHW,OAK,TEX"
John Baker,1981,7,2008,2014,0.7,0,359,1076,124,266,14,120,2,127,0.247,0.33,0.341,0.671,82,1,0,0.0,0.0,1.0,1,0,0,1.0,0,"CHC,FLA,SDP"
Freddy Guzmán,1981,5,2004,2013,0.5,0,48,95,14,20,1,7,10,4,0.211,0.255,0.274,0.529,42,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,SDP,TBD,TEX"
Luis Martínez,1980,1,2003,2003,-0.6,0,4,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,3,9.92,44.0,2.449,4,4,0,16.333333333333332,10,MIL
Franklyn Germán,1980,6,2002,2008,0.9,0,23,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,9,7,4.25,103.0,1.727,155,0,7,158.66666666666666,114,"DET,FLA,TEX"
Chris Mears,1978,1,2003,2003,-0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,5.44,80.0,1.476,29,3,5,41.333333333333336,21,DET
John Rodriguez,1978,2,2005,2006,0.6,0,158,332,46,99,7,43,2,40,0.298,0.378,0.434,0.811,110,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
David Eckstein,1975,10,2001,2010,20.9,2,1311,5041,701,1414,35,392,123,376,0.28,0.345,0.355,0.701,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,ARI,SDP,STL,TOR"
Julio Santana,1973,7,1997,2006,0.4,0,93,16,0,2,0,1,0,0,0.125,0.125,0.125,0.25,-36,17,31,5.3,89.0,1.566,209,42,1,479.0,308,"DET,MIL,PHI,TBD,TEX,WSN"
Tim Kubinski,1972,2,1997,1999,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.76,80.0,1.48,25,0,0,25.0,17,OAK
Matt Beech,1972,3,1996,1998,-1.0,0,49,77,4,11,0,4,0,0,0.143,0.143,0.156,0.299,-22,8,22,5.37,80.0,1.536,53,53,0,295.0,266,PHI
Marvin Benard,1971,9,1995,2003,8.6,0,891,2630,441,714,54,260,105,265,0.271,0.343,0.402,0.744,97,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Brian Giles,1971,15,1995,2009,51.1,2,1847,6527,1121,1897,287,1078,109,1183,0.291,0.4,0.502,0.902,137,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,PIT,SDP"
Ramón Mañón,1968,1,1990,1990,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,13.5,35.0,3.0,1,0,0,2.0,0,TEX
Brad Brink,1965,3,1992,1994,-0.2,0,14,14,0,1,0,0,0,0,0.071,0.133,0.071,0.205,-41,0,4,3.56,104.0,1.437,14,7,0,55.666666666666664,27,"PHI,SFG"
Kevin Maas,1965,5,1990,1995,1.5,0,406,1248,171,287,65,169,10,182,0.23,0.329,0.422,0.752,107,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,NYY"
Ozzie Guillén,1964,16,1985,2000,21.0,3,1993,6686,773,1764,28,619,169,239,0.264,0.287,0.338,0.626,69,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,BAL,CHW,TBD"
Cecil Espy,1963,8,1983,1993,1.6,0,546,1248,160,304,7,108,103,104,0.244,0.301,0.321,0.622,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,LAD,PIT,TEX"
Bill Scherrer,1958,7,1982,1988,1.7,0,147,17,0,2,0,0,0,2,0.118,0.211,0.118,0.328,-7,8,10,4.08,97.0,1.436,228,2,11,311.3333333333333,207,"BAL,CIN,DET,PHI"
Gerry Schoen,1947,1,1968,1968,-0.1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,7.36,45.0,1.909,1,1,0,3.6666666666666665,1,TEX
Dave Boswell,1945,8,1964,1971,12.6,0,231,367,41,74,4,22,0,6,0.202,0.222,0.283,0.506,42,68,56,3.52,100.0,1.257,205,151,0,1065.3333333333333,882,"BAL,DET,MIN"
Carl Taylor,1944,6,1968,1973,3.6,0,411,846,113,225,10,115,12,136,0.266,0.367,0.352,0.72,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"KCR,PIT,STL"
Jesse Gonder,1936,8,1960,1967,1.9,0,395,876,73,220,26,94,1,72,0.251,0.31,0.377,0.687,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CIN,NYM,NYY,PIT"
Camilo Pascual,1934,18,1954,1971,40.8,7,542,967,71,198,5,81,0,46,0.205,0.243,0.264,0.506,40,174,170,3.63,103.0,1.287,529,404,10,2930.6666666666665,2167,"CIN,CLE,LAD,MIN,TEX"
Gene Stephens,1933,12,1952,1964,4.7,0,964,1913,283,460,37,207,27,233,0.24,0.325,0.355,0.68,83,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,CHW,OAK"
Gale Wade,1929,2,1955,1956,-0.8,0,19,45,5,6,1,1,0,5,0.133,0.22,0.222,0.442,19,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Sam Hairston,1920,6,1944,1951,3.2,2,119,421,75,133,5,66,7,45,0.316,0.386,0.43,0.816,128,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,IC"
Joe Dobson,1917,14,1939,1954,26.3,1,414,697,46,106,2,35,1,54,0.152,0.22,0.174,0.394,6,137,103,3.62,112.0,1.336,414,273,15,2170.0,992,"BOS,CHW,CLE"
Jimmy Outlaw,1913,10,1937,1949,-0.4,0,650,1974,257,529,6,184,24,188,0.268,0.333,0.334,0.668,85,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CIN,DET"
Frank Makosky,1910,1,1937,1937,-0.4,0,26,16,2,5,0,2,0,1,0.313,0.353,0.313,0.665,68,5,2,4.97,91.0,1.517,26,1,3,58.0,27,NYY
Herm Holshouser,1907,1,1930,1930,-1.2,0,25,16,1,2,0,1,0,4,0.125,0.3,0.125,0.425,11,0,1,7.8,62.0,2.102,25,1,1,62.333333333333336,37,BAL
Jesse Hill,1907,3,1935,1937,3.4,0,295,959,175,277,6,108,43,115,0.289,0.366,0.388,0.753,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,NYY,OAK"
Bob Adams,1907,2,1931,1932,-0.2,0,5,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,5.25,87.0,2.0,5,1,0,12.0,5,PHI
Charlie Craig,1906,2,1926,1927,-0.2,0,13,30,2,5,1,1,0,0,0.167,0.167,0.3,0.467,22,3,2,5.89,76.0,1.678,13,9,1,70.33333333333333,24,"HBG,NLG"
Ike Danning,1905,1,1928,1928,0.0,0,2,6,0,3,0,1,0,1,0.5,0.571,0.5,1.071,180,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Denny Sothern,1904,5,1926,1931,-2.3,0,357,1355,219,379,19,115,38,83,0.28,0.325,0.394,0.719,76,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,PHI,PIT"
Cliff Hill,1893,1,1917,1917,-0.5,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.75,49.0,2.25,1,0,0,2.6666666666666665,0,OAK
Al Gould,1893,2,1916,1917,1.8,0,57,53,2,8,0,4,0,3,0.151,0.196,0.189,0.385,14,9,10,3.05,96.0,1.435,57,16,1,200.66666666666666,65,CLE
Earl Smith,1891,7,1916,1922,3.3,0,495,1580,176,429,9,186,36,82,0.272,0.311,0.375,0.686,90,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CHC,MIN"
Bill Zimmerman,1887,1,1915,1915,-0.2,0,22,57,3,16,0,7,1,4,0.281,0.328,0.316,0.644,93,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Bill James,1887,8,1911,1919,4.6,0,203,358,25,51,0,13,1,27,0.142,0.209,0.165,0.374,12,64,71,3.21,88.0,1.432,203,146,4,1178.6666666666667,408,"BAL,BOS,CHW,CLE,DET"
Bill Schardt,1886,2,1911,1912,1.0,0,46,65,7,10,0,2,0,3,0.154,0.203,0.2,0.403,15,5,16,3.67,91.0,1.444,46,22,5,216.0,84,LAD
C.I. Taylor,1875,2,1920,1921,-0.1,0,11,10,3,2,0,0,1,1,0.2,0.273,0.2,0.473,38,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ABC
Ernie Courtney,1875,6,1902,1908,5.4,0,558,1921,226,471,5,200,35,188,0.245,0.321,0.298,0.618,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,BLA,DET,NYY,PHI"
Harry Barton,1875,1,1905,1905,-0.1,0,29,60,5,10,0,3,2,3,0.167,0.206,0.233,0.44,38,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Frank Cross,1873,1,1901,1901,0.1,0,1,5,0,3,0,0,0,0,0.6,0.6,0.6,1.2,239,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Pete Galligan,1860,1,1886,1886,0.0,0,1,5,1,1,0,0,0,0,0.2,0.2,0.2,0.4,26,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WNL
Everett Mills,1845,6,1871,1876,4.3,0,337,1525,283,433,2,204,10,13,0.284,0.29,0.356,0.646,100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BLC,HAR,HNA,OLY"
