Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Angel Chivilli,2002,1,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3.0,4.55,102.0,1.295,30,0,1,31.666666666666668,28,COL
Brendon Davis,1997,1,-0.1,0,3,10,2,2,0,0,1,1,0.2,0.273,0.2,0.473,40,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Spencer Howard,1996,5,-2.6,0,12,6,0,2,0,0,0,0,0.333,0.333,0.5,0.833,122,4,13.0,7.0,60.0,1.736,47,32,0,144.0,136,"CLE,PHI,SFG,TEX"
Jorge Alcalá,1995,6,2.0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,11.0,3.64,118.0,1.084,144,0,1,163.33333333333334,165,MIN
Tylor Megill,1995,4,2.1,0,18,28,1,6,0,0,0,1,0.214,0.241,0.321,0.563,53,21,21.0,4.56,89.0,1.392,74,67,0,341.3333333333333,346,NYM
Walker Buehler,1994,7,12.2,2,93,171,11,19,1,6,0,11,0.111,0.165,0.14,0.305,-17,47,22.0,3.27,125.0,1.09,131,122,0,713.6666666666666,754,LAD
Drew Jackson,1993,2,-0.1,0,6,6,0,0,0,0,0,1,0.0,0.143,0.0,0.143,-55,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,OAK"
Caleb Smith,1991,6,3.6,0,88,87,4,15,0,4,1,1,0.172,0.2,0.207,0.407,11,20,30.0,4.55,92.0,1.309,147,64,0,447.0,478,"ARI,FLA,NYY"
Jae-gyun Hwang,1987,1,-0.3,0,18,52,2,8,1,5,0,5,0.154,0.228,0.231,0.459,22,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Darin Ruf,1986,9,1.4,0,581,1469,198,351,67,205,6,180,0.239,0.329,0.427,0.756,108,0,0.0,6.0,91.0,1.333,2,0,0,3.0,0,"MIL,NYM,PHI,SFG"
Henry Sosa,1985,1,-0.4,0,10,15,3,1,0,0,0,2,0.067,0.177,0.133,0.31,-12,3,5.0,5.23,73.0,1.444,10,10,0,53.333333333333336,38,HOU
Chad Paronto,1975,7,0.0,0,119,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,6,12.0,4.32,102.0,1.451,177,0,1,183.33333333333334,107,"ATL,BAL,CLE,HOU"
Derek Lee,1966,1,-0.5,0,15,33,3,5,0,4,0,1,0.152,0.177,0.182,0.358,-3,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Terry Taylor,1964,1,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,6.26,68.0,1.609,5,5,0,23.0,9,SEA
Bob Milacki,1964,8,5.2,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,39,47.0,4.38,91.0,1.405,143,125,1,795.6666666666666,387,"BAL,CLE,KCR,SEA"
Carmelo Martínez,1960,9,11.0,0,1003,2906,350,713,108,424,10,404,0.245,0.337,0.408,0.745,108,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CIN,KCR,PHI,PIT,SDP"
Mark Williams,1953,1,0.0,0,3,2,0,0,0,1,0,1,0.0,0.333,0.0,0.333,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Jerry Maddox,1953,1,0.0,0,7,14,1,3,0,1,0,1,0.214,0.267,0.214,0.481,30,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Vida Blue,1949,17,45.1,6,273,512,37,53,4,15,0,49,0.104,0.186,0.145,0.33,-4,209,161.0,3.27,108.0,1.233,502,473,2,3343.3333333333335,2175,"KCR,OAK,SFG"
Dick Simpson,1943,7,-2.2,0,288,518,94,107,15,56,10,64,0.207,0.299,0.338,0.637,84,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CIN,HOU,MIL,NYY,STL"
Ron Theobald,1943,2,4.5,0,251,779,95,193,2,42,11,106,0.248,0.342,0.29,0.632,88,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
Ernie Bowman,1935,3,-0.7,0,165,205,29,39,1,10,3,2,0.19,0.2,0.244,0.444,25,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
