Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Irving Lopez,1995,1,-0.4,0,5,11,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Rogelio Armenteros,1994,1,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,4.0,118.0,1.222,5,2,1,18.0,18,HOU
Josh Rojas,1994,6,6.0,0,569,1862,256,460,34,189,59,211,0.247,0.324,0.362,0.686,92,0,0,13.5,35.0,2.5,4,0,0,4.0,1,"ARI,SEA"
Trea Turner,1993,10,36.3,3,1125,4568,776,1352,171,572,279,340,0.296,0.348,0.481,0.829,121,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,PHI,WSN"
Jesús Aguilar,1990,10,3.5,1,795,2348,288,594,114,402,1,235,0.253,0.322,0.446,0.768,105,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CLE,FLA,MIL,OAK,TBD"
Cody Asche,1990,5,-1.9,0,390,1238,129,290,32,129,5,95,0.234,0.293,0.376,0.668,83,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,PHI"
Blake Treinen,1988,10,12.4,1,256,14,0,1,0,0,0,1,0.071,0.133,0.071,0.205,-41,43,34,2.78,149.0,1.203,499,7,80,549.6666666666666,560,"LAD,OAK,WSN"
Jeff Kobernus,1988,2,-0.2,0,28,36,10,5,1,1,3,6,0.139,0.296,0.222,0.518,45,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WSN
Ryan Cook,1987,6,3.3,1,28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,13,3.58,109.0,1.241,236,0,17,224.0,233,"ARI,BOS,OAK,SEA"
Cole Figueroa,1987,3,-0.4,0,48,77,8,16,0,9,1,5,0.208,0.25,0.286,0.536,50,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,PIT,TBD"
Mike Carp,1986,6,1.9,0,318,887,97,225,27,127,2,90,0.254,0.33,0.414,0.744,108,0,0,9.0,78.0,5.0,1,0,0,1.0,0,"BOS,SEA,TEX"
Pat Venditte,1985,5,-0.2,0,18,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,2,4.73,87.0,1.244,61,0,0,72.33333333333333,58,"FLA,LAD,OAK,SEA,SFG,TOR"
Drew Sutton,1983,4,0.1,0,128,281,38,72,4,37,0,19,0.256,0.309,0.399,0.708,92,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,CIN,CLE,PIT,TBD"
Delwyn Young,1982,5,-0.6,0,344,710,76,183,17,81,4,58,0.258,0.317,0.393,0.71,89,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,PIT"
Mitch Maier,1982,6,1.5,0,359,977,122,242,10,93,15,112,0.248,0.327,0.344,0.671,83,0,0,0.0,0.0,1.0,2,0,0,2.0,0,KCR
Todd Linden,1980,5,-1.8,0,270,502,64,116,8,36,8,44,0.231,0.303,0.335,0.638,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,SFG"
Mike Judd,1975,5,-1.3,0,17,9,1,1,0,0,0,1,0.111,0.2,0.111,0.311,-15,4,3,7.2,62.0,1.733,28,8,0,75.0,61,"LAD,TBD,TEX"
Chan Ho Park,1973,17,19.9,1,380,430,27,77,3,31,0,20,0.179,0.215,0.24,0.454,21,124,98,4.36,97.0,1.396,476,287,2,1993.0,1715,"LAD,NYM,NYY,PHI,PIT,SDP,TEX"
Garret Anderson,1972,17,25.7,3,2228,8640,1084,2529,287,1365,80,429,0.293,0.324,0.461,0.785,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,ATL,LAD"
Jim Stoops,1972,1,0.2,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,2.25,247.0,2.0,3,0,0,4.0,0,COL
Mark Grudzielanek,1970,15,26.5,1,1802,7052,946,2040,90,640,133,364,0.289,0.332,0.393,0.725,90,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CLE,KCR,LAD,STL,WSN"
Dan Peltier,1968,3,-0.8,0,108,243,27,62,1,28,0,27,0.255,0.33,0.313,0.643,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"SFG,TEX"
Doug Dascenzo,1964,7,-2.1,0,540,1225,156,287,5,90,49,103,0.234,0.293,0.297,0.59,64,0,0,0.0,0.0,1.0,4,0,0,5.0,2,"CHC,SDP,TEX"
Tony Fernández,1962,17,45.3,5,2158,7911,1057,2276,94,844,246,690,0.288,0.347,0.399,0.746,101,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,CLE,MIL,NYM,NYY,SDP,TOR"
Al Newman,1960,8,2.5,0,854,2107,264,476,1,156,91,236,0.226,0.304,0.266,0.57,58,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,TEX,WSN"
Bud Black,1957,15,20.9,0,90,179,6,26,0,12,0,4,0.145,0.164,0.168,0.332,-6,121,116,3.84,104.0,1.267,398,296,11,2053.3333333333335,1039,"CLE,KCR,SEA,SFG,TOR"
Jerry Kenney,1945,6,9.0,0,465,1369,165,325,7,103,59,184,0.237,0.326,0.3,0.626,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,NYY"
Otis Thornton,1945,1,-0.2,0,2,3,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,HOU
Ron Swoboda,1944,9,8.0,0,928,2581,285,624,73,344,20,299,0.242,0.324,0.379,0.703,101,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYM,NYY,WSN"
Paul Toth,1935,3,1.7,0,43,58,2,6,0,1,0,3,0.103,0.148,0.103,0.251,-29,9,12,3.8,98.0,1.203,43,21,0,192.0,82,"CHC,STL"
Dave Roberts,1933,3,-0.5,0,91,194,15,38,2,17,0,22,0.196,0.282,0.278,0.56,61,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,PIT"
Don Gross,1931,6,3.9,0,145,104,4,11,0,10,0,5,0.106,0.146,0.125,0.271,-28,20,22,3.73,108.0,1.299,145,37,10,398.0,230,"CIN,PIT"
Pompeyo Davalillo,1928,1,0.2,0,19,58,10,17,0,2,1,1,0.293,0.305,0.31,0.615,69,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Joe Stephenson,1921,3,-0.6,0,29,67,8,12,0,4,1,2,0.179,0.225,0.194,0.419,20,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CHW,SFG"
Jack Albright,1921,1,0.1,0,41,99,9,23,2,5,1,10,0.232,0.303,0.333,0.636,72,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Willie Grace,1917,6,0.4,3,100,347,41,106,0,45,4,26,0.306,0.356,0.363,0.719,105,0,0,5.79,77.0,1.071,1,0,0,4.666666666666667,2,CBE
Roberto Ortiz,1915,6,-0.8,0,213,659,67,168,8,78,4,43,0.255,0.31,0.349,0.659,84,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,OAK"
Manny Salvo,1912,5,2.9,0,135,232,10,30,1,16,0,17,0.129,0.192,0.168,0.36,3,33,50,3.69,97.0,1.396,135,93,1,721.3333333333334,247,"ATL,PHI,SFG"
Dino Chiozza,1912,1,0.0,0,2,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Johnny Hudson,1912,7,-0.1,0,426,1169,138,283,4,96,17,87,0.242,0.296,0.314,0.61,65,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,LAD,SFG"
Art Scharein,1905,3,-0.7,0,205,776,92,189,0,70,11,66,0.244,0.306,0.298,0.604,56,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Hal Smith,1902,4,0.1,0,51,67,3,7,0,0,0,2,0.105,0.13,0.119,0.25,-30,12,11,3.77,95.0,1.352,51,25,1,210.0,59,PIT
Ed Rile,1900,12,25.9,0,454,1501,262,475,37,270,25,154,0.317,0.383,0.492,0.875,132,51,36,3.33,130.0,1.274,124,88,0,748.6666666666666,287,"AB2,ABC,CAG,COB,DS"
Will Jones,1896,1,0.0,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,COG
