Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Justin Foscue,1999,1,-0.7,0,15,42,3,2,0,1,0,2,0.048,0.091,0.071,0.162,-52,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TEX
Johan Oviedo,1998,4,2.2,0,13,20,3,3,0,2,0,2,0.15,0.227,0.15,0.377,8,13,25,4.32,99.0,1.397,72,58,0,320.6666666666667,279,"PIT,STL"
Junior Fernández,1997,4,-0.2,0,28,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,5.17,80.0,1.722,50,0,0,54.0,47,"PIT,STL"
Miguel Andujar,1995,8,1.8,0,373,1361,161,372,43,179,12,61,0.273,0.306,0.434,0.739,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,OAK,PIT"
Reese McGuire,1995,7,1.9,0,355,942,93,237,16,82,7,60,0.252,0.3,0.364,0.664,82,0,0,0.0,0.0,0.0,1,0,0,1.0,0,"BOS,CHW,TOR"
James Kaprielian,1994,4,2.2,0,3,3,1,1,0,0,0,0,0.333,0.333,0.333,0.667,90,15,20,4.61,86.0,1.349,66,58,0,318.0,282,OAK
Josh Taylor,1993,4,1.8,0,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,6,4.35,110.0,1.392,138,2,1,120.0,155,"BOS,KCR"
Adolis García,1993,6,11.4,2,631,2344,344,560,122,384,61,183,0.239,0.298,0.451,0.749,107,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"STL,TEX"
Ariel Hernández,1992,1,0.0,0,17,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,5.18,88.0,1.479,19,0,0,24.333333333333332,29,CIN
Nick Franklin,1991,6,1.2,0,301,833,83,178,24,96,17,77,0.214,0.285,0.359,0.644,80,0,0,18.0,30.0,3.0,1,0,0,1.0,0,"ANA,MIL,SEA,TBD"
Wilking Rodríguez,1990,1,0.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,2,0,0,2.0,1,KCR
Brandon Wood,1985,5,-3.8,0,272,700,65,130,18,64,5,32,0.186,0.225,0.289,0.513,40,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,PIT"
Bud Norris,1985,10,5.4,0,227,204,10,32,0,12,0,7,0.157,0.191,0.191,0.382,5,67,90,4.45,90.0,1.396,355,188,47,1221.3333333333333,1153,"ANA,ATL,BAL,HOU,LAD,SDP,STL"
Glen Perkins,1983,12,8.9,3,24,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,35,25,3.88,108.0,1.288,409,44,120,624.3333333333334,504,MIN
Jared Sandberg,1978,3,2.3,0,196,630,83,139,25,92,4,65,0.221,0.297,0.406,0.703,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TBD
