Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Luisangel Acuña,2002,1,2024,2024,0.5,0,14,39,6,12,3,6,0,1,0.308,0.325,0.641,0.966,168,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYM
Bryan Ramos,2002,1,2024,2024,-0.2,0,32,99,13,20,3,11,0,7,0.202,0.252,0.333,0.586,67,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Alika Williams,1999,2,2023,2024,-0.4,0,83,188,20,38,0,11,1,12,0.202,0.257,0.271,0.529,46,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Max Meyer,1999,2,2022,2024,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,6,5.86,77.0,1.429,13,13,0,63.0,52,FLA
Jacob Lindgren,1993,1,2015,2015,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.14,83.0,1.286,7,0,0,7.0,8,NYY
Cole Sulser,1990,6,2019,2024,2.3,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,13,3.74,118.0,1.302,139,2,15,149.0,158,"ARI,BAL,FLA,NYM,TBD"
Taylor Hill,1989,2,2014,2015,-0.2,0,7,3,0,1,0,0,0,0,0.333,0.333,0.333,0.667,85,0,1,6.0,67.0,1.762,9,1,0,21.0,14,WSN
Joey Butler,1986,3,2013,2015,0.7,0,102,274,33,75,8,31,5,20,0.274,0.33,0.412,0.742,107,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"STL,TBD,TEX"
P.J. Walters,1985,5,2009,2013,-2.3,0,19,10,0,0,0,0,0,1,0.0,0.091,0.0,0.091,-72,6,10,6.28,65.0,1.579,40,24,0,152.0,104,"MIN,STL,TOR"
José Arredondo,1984,4,2008,2012,2.6,0,120,2,0,1,0,0,0,0,0.5,0.5,0.5,1.0,173,22,11,3.27,130.0,1.327,214,0,1,220.0,212,"ANA,CIN"
Frankie De La Cruz,1984,4,2007,2011,-1.0,0,23,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,8.16,53.0,1.969,26,1,0,32.0,20,"DET,FLA,MIL,SDP"
Zach Miner,1982,5,2006,2013,3.7,0,27,13,1,3,0,0,0,0,0.231,0.231,0.308,0.539,43,25,22,4.25,105.0,1.478,173,38,1,385.6666666666667,237,"DET,PHI"
Carlos Muñiz,1981,2,2007,2008,-0.1,0,19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,5.61,77.0,1.325,20,0,0,25.666666666666668,18,NYM
David Williams,1979,6,2001,2007,2.3,0,80,123,5,15,1,9,0,4,0.122,0.148,0.171,0.319,-17,22,31,4.83,91.0,1.412,82,72,0,408.0,245,"CIN,NYM,PIT"
Félix Escalona,1979,4,2002,2005,-0.1,0,84,206,20,43,0,13,8,6,0.209,0.261,0.282,0.543,47,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,TBD"
Bryan Hebson,1976,1,2003,2003,-0.1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,13.5,39.0,2.5,2,0,0,2.0,1,WSN
Kevin Pickford,1975,1,2002,2002,-0.5,0,15,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,2,6.0,63.0,1.9,16,4,0,30.0,18,SDP
Craig Dingman,1974,4,2000,2005,-0.8,0,12,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,5,6.1,75.0,1.619,75,0,5,79.66666666666667,50,"COL,DET,NYY"
David Lee,1973,5,1999,2004,2.0,0,80,6,1,1,0,0,0,0,0.167,0.167,0.167,0.333,-21,5,2,4.37,113.0,1.639,96,0,1,115.33333333333333,97,"CLE,COL,SDP"
George Arias,1972,4,1996,1999,0.0,0,173,480,46,114,14,55,2,25,0.238,0.278,0.371,0.649,67,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,SDP"
Raúl Mondesí,1971,13,1993,2005,29.5,1,1525,5814,909,1589,271,860,229,475,0.273,0.331,0.485,0.816,113,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,ARI,ATL,LAD,NYY,PIT,TOR"
Greg Hansell,1971,4,1995,1999,-0.4,0,52,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,4,4,5.56,86.0,1.511,106,0,3,137.66666666666666,98,"LAD,MIL,MIN,PIT"
