Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Brett Wisely,1999,2,0.3,0,142,372,35,81,6,39,4,22,0.218,0.263,0.32,0.582,66,0,0.0,9.0,63.0,1.0,1,0,0,1.0,0,SFG
Bryan Hudson,1997,2,2.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1.0,2.41,176.0,0.859,49,0,0,71.0,69,"LAD,MIL"
Lewis Brinson,1994,6,-3.6,0,357,1071,91,212,28,109,10,58,0.198,0.246,0.328,0.574,55,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,MIL,SFG"
Cody Ege,1991,1,0.1,0,5,1,0,1,0,0,0,0,1.0,1.0,1.0,2.0,454,1,0.0,3.86,110.0,1.8,18,0,0,11.666666666666666,11,"ANA,FLA"
Sean Gilmartin,1990,6,1.1,0,64,7,2,3,0,1,0,0,0.429,0.429,0.571,1.0,174,4,5.0,4.34,94.0,1.42,81,3,0,112.0,90,"BAL,NYM,TBD"
Wily Peralta,1989,10,4.3,0,129,201,8,20,1,11,0,8,0.1,0.133,0.134,0.267,-27,56,61.0,4.29,95.0,1.447,258,139,16,911.3333333333334,660,"DET,KCR,MIL"
Adam Moore,1984,9,-0.5,0,104,292,21,58,7,23,2,13,0.199,0.239,0.312,0.55,53,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,KCR,SDP,SEA,TBD"
Adrián González,1982,15,43.5,5,1929,7139,997,2050,317,1202,6,782,0.287,0.358,0.485,0.843,129,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,LAD,NYM,SDP,TEX"
Alfredo Simón,1981,9,0.9,1,142,89,2,9,0,3,0,2,0.101,0.13,0.135,0.265,-26,47,47.0,4.56,87.0,1.392,255,93,19,775.0,529,"BAL,CIN,DET"
John Maine,1981,8,4.0,0,105,166,10,16,1,8,0,11,0.096,0.161,0.121,0.282,-24,41,36.0,4.45,96.0,1.356,112,105,0,593.0,499,"BAL,FLA,NYM"
Jason Davis,1980,7,0.3,0,24,17,1,1,1,1,0,0,0.059,0.059,0.235,0.294,-26,22,26.0,4.82,91.0,1.521,144,56,1,461.0,269,"CLE,PIT,SEA"
Todd Greene,1971,11,-2.9,0,536,1573,181,397,71,217,5,67,0.252,0.286,0.444,0.73,83,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,COL,NYY,SFG,TEX,TOR"
Dave Rohde,1964,3,-1.0,0,93,146,11,23,0,5,0,16,0.158,0.262,0.185,0.447,29,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,HOU"
Orestes Destrade,1962,4,-1.9,0,237,765,80,184,26,106,1,87,0.241,0.319,0.383,0.702,85,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,NYY,PIT"
Ricky Nelson,1959,4,-1.2,0,123,320,38,79,6,39,8,19,0.247,0.288,0.363,0.651,76,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Dennis Leonard,1951,12,25.7,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,144,106.0,3.7,107.0,1.262,312,302,1,2187.0,1323,KCR
Lloyd Allen,1950,7,-1.8,0,108,40,2,8,1,1,0,0,0.2,0.2,0.3,0.5,47,8,25.0,4.69,71.0,1.638,159,19,22,297.3333333333333,194,"ANA,CHW,TEX"
Migel Puente,1948,1,-0.8,0,6,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,3.0,8.2,50.0,1.929,6,4,0,18.666666666666668,14,SFG
Steve Braun,1948,15,17.4,0,1425,3650,466,989,52,388,45,579,0.271,0.371,0.367,0.738,109,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"KCR,MIN,SEA,STL,TOR"
Art López,1937,1,-0.6,0,38,49,5,7,0,0,0,1,0.143,0.16,0.143,0.303,-13,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
Mike Cuellar,1937,15,26.9,4,316,661,37,76,7,33,0,9,0.115,0.128,0.171,0.299,-15,185,130.0,3.14,109.0,1.197,453,379,11,2808.0,1632,"ANA,BAL,CIN,HOU,STL"
Jim McCurine,1921,3,-0.3,0,43,144,13,32,1,18,0,12,0.222,0.282,0.306,0.588,63,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,CAG
Frank Russell,1921,4,0.6,0,155,568,80,155,0,76,11,30,0.273,0.317,0.35,0.668,84,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BEG
Bill Powell,1919,3,3.4,1,13,33,8,9,0,4,0,4,0.273,0.351,0.303,0.654,80,10,2.0,3.26,145.0,1.362,13,13,0,94.0,71,BBB
Harry O'Neill,1917,1,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Columbus Vance,1905,4,0.2,0,50,113,14,30,1,7,1,3,0.266,0.285,0.363,0.647,78,13,21.0,5.39,80.0,1.463,43,37,0,257.0,140,"AB2,BBB,HG"
Turkey Stearnes HOF,1901,18,49.5,5,993,3807,917,1326,187,1009,130,418,0.348,0.417,0.616,1.033,177,0,1.0,15.43,30.0,2.429,1,1,0,7.0,2,"CAG,DS,DTS,KCM,PS"
Johnny Juran,1900,1,0.3,0,11,15,1,3,0,0,0,3,0.2,0.333,0.2,0.533,48,0,4.0,4.1,106.0,1.488,10,7,0,41.666666666666664,10,BBB
Fritz Henrich,1899,1,-1.5,0,36,90,4,19,0,4,0,2,0.211,0.228,0.256,0.484,24,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
