Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Raymond Burgos,1998,1,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,9.0,60.0,4.0,1,0,0,1.0,1,SFG
MJ Melendez,1998,3,-0.8,0,412,1405,166,310,51,162,12,163,0.221,0.303,0.397,0.7,94,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,KCR
Dean Deetz,1993,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,5.4,85.0,1.5,4,0,0,3.3333333333333335,3,HOU
Craig Gentry,1983,10,9.7,0,601,1242,180,325,7,104,94,102,0.262,0.333,0.339,0.672,85,0,0.0,18.0,33.0,4.0,1,0,0,1.0,0,"ANA,BAL,OAK,TEX"
Tony Giarratano,1982,1,-0.3,0,15,42,4,6,1,4,1,5,0.143,0.234,0.214,0.448,23,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Guillermo Quiroz,1981,10,-1.9,0,148,346,24,69,3,34,1,22,0.199,0.256,0.278,0.534,44,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,SEA,SFG,TEX,TOR"
Brian Wolfe,1980,3,0.7,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,5.0,3.81,117.0,1.222,72,0,0,82.66666666666667,47,TOR
Francis Beltrán,1979,3,-0.3,0,52,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,30,3,2.0,5.69,78.0,1.655,67,0,1,74.33333333333333,68,"CHC,DET,WSN"
Jason Alfaro,1977,1,-0.2,0,7,11,1,2,0,0,0,0,0.182,0.182,0.182,0.364,-6,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,HOU
Steve Rodriguez,1970,1,-0.3,0,18,39,5,7,0,0,2,6,0.18,0.289,0.205,0.494,32,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,DET"
Mariano Rivera HOF,1969,19,56.3,13,73,3,0,0,0,1,0,1,0.0,0.25,0.0,0.25,-27,82,60.0,2.21,205.0,1.0,1115,10,652,1283.6666666666667,1173,NYY
Pedro Martínez,1968,5,1.0,0,121,9,1,0,0,1,0,1,0.0,0.1,0.0,0.1,-70,7,4.0,3.97,105.0,1.528,122,1,3,142.66666666666666,114,"CIN,HOU,NYM,SDP"
Allen Battle,1968,2,-0.6,0,108,248,33,57,1,7,13,32,0.23,0.324,0.274,0.598,57,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"OAK,STL"
Bob Hamelin,1967,6,2.5,0,497,1272,179,313,67,209,11,206,0.246,0.352,0.464,0.816,109,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,KCR,MIL"
Howard Johnson,1960,14,22.2,2,1531,4940,760,1229,228,760,231,692,0.249,0.34,0.446,0.786,118,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,COL,DET,NYM"
Brian Holton,1959,6,2.1,0,113,20,0,1,0,0,0,1,0.05,0.095,0.05,0.145,-58,20,19.0,3.62,103.0,1.419,185,16,3,370.6666666666667,210,"BAL,LAD"
