Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Victor Vodnik,1999,2,0.6,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,4,4.7,99.0,1.543,70,0,9,82.33333333333333,77,COL
Clayton Beeter,1998,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.91,92.0,1.364,3,0,0,3.6666666666666665,5,NYY
Jake Eder,1998,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,108.0,1.5,1,0,0,2.0,1,CHW
Colton Welker,1997,1,-0.4,0,19,37,7,7,0,2,0,3,0.189,0.25,0.216,0.466,22,0,0,0.0,0.0,0.0,0,0,0,0.0,0,COL
Merandy González,1995,1,-0.1,0,7,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,40,2,1,5.73,68.0,1.773,8,1,0,22.0,19,FLA
Ryan Brett,1991,1,0.1,0,3,3,0,2,0,0,0,1,0.667,0.75,1.0,1.75,386,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TBD
Jake Lamb,1990,10,7.3,1,723,2309,335,543,96,342,18,295,0.235,0.326,0.428,0.753,97,0,0,0.0,0.0,1.0,1,0,0,1.0,0,"ANA,ARI,CHW,LAD,OAK,SEA,TOR"
Tim Melville,1989,3,-0.3,0,12,10,0,2,0,2,0,0,0.2,0.2,0.2,0.4,1,2,5,6.75,74.0,1.792,13,10,0,48.0,39,"CIN,COL,MIN,SDP"
Starling Marte,1988,13,38.6,2,1432,5458,840,1560,154,633,354,320,0.286,0.342,0.441,0.783,115,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,FLA,NYM,OAK,PIT"
Cory Burns,1987,2,0.0,0,17,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,4.6,85.0,1.875,27,0,0,29.333333333333332,23,"SDP,TEX"
